"","short_name","Transfer Price (Millions)","Position"
"1","D. Rice",116.6,"Midfielder"
"2","K. Havertz",75,"Midfielder"
"3","J. Timber",40,"Defender"
"4","M. Diaby",55,"Attacker"
"5","P. Torres",33,"Defender"
"6","M. Rogers",9.4,"Attacker"
"7","K. Nedeljkovic",7.6,"Defender"
"8","J. Gauci",1.5,"Goalkeeper"
"9","T. Adams",26.9,"Midfielder"
"10","H. Traore",25.62,"Midfielder"
"11","A. Scott",23,"Midfielder"
"12","M. Kerkez",17.87,"Defender"
"13","R. Faivre",15,"Midfielder"
"14","J. Kluivert",10.8,"Attacker"
"15","M. Aarons",8.1,"Defender"
"16","N. Collins",26.85,"Defender"
"17","K. Schade",25,"Attacker"
"18","M. Flekken",13,"Goalkeeper"
"19","Y. Konak",4.5,"Midfielder"
"20","H. Valdimarsson",3,"Goalkeeper"
"21","J. Pedro",34.2,"Attacker"
"22","C. Baleba",27,"Midfielder"
"23","B. Verbruggen",20,"Goalkeeper"
"24","Igor",16.15,"Defender"
"25","V. Barco",9.15,"Defender"
"26","A. Mazilu",3,"Attacker"
"27","Z. Amdouni",18.6,"Attacker"
"28","J. Trafford",17.3,"Goalkeeper"
"29","A. Ramsey",16.45,"Midfielder"
"30","J. Beyer",15,"Defender"
"31","S. Berge",13.9,"Midfielder"
"32","W. Odobert",12,"Attacker"
"33","D. O'Shea",7.8,"Defender"
"34","M. Obafemi",4,"Attacker"
"35","H. Delcroix",3,"Defender"
"36","L. Koleosho",3,"Attacker"
"37","M. Caicedo",116,"Midfielder"
"38","R. Lavia",62.1,"Midfielder"
"39","C. Nkunku",60,"Midfielder"
"40","C. Palmer",47,"Midfielder"
"41","A. Disasi",45,"Defender"
"42","N. Jackson",37,"Attacker"
"43","R. Sanchez",28.7,"Goalkeeper"
"44","L. Ugochukwu",27,"Midfielder"
"45","D. Washington",16,"Attacker"
"46","Angelo",15,"Attacker"
"47","D. Petrovic",14,"Goalkeeper"
"48","A. Wharton",21.1,"Midfielder"
"49","M. Franca",20,"Midfielder"
"50","D. Henderson",17.5,"Goalkeeper"
"51","D. Munoz",8,"Defender"
"52","R. Holding",1.2,"Defender"
"53","Beto",25,"Attacker"
"54","Chermiti",12.5,"Attacker"
"55","A. Iwobi",25.7,"Midfielder"
"56","C. Bassey",22.5,"Defender"
"57","T. Castagne",13,"Defender"
"58","R. Jimenez",6.4,"Attacker"
"59","S. Benda",0.87,"Goalkeeper"
"60","D. Szoboszlai",70,"Midfielder"
"61","A. Mac Allister",42,"Midfielder"
"62","R. Gravenberch",40,"Midfielder"
"63","W. Endo",20,"Midfielder"
"64","R. Giles",5.85,"Defender"
"65","T. Chong",4.7,"Attacker"
"66","M. Andersen",3.5,"Defender"
"67","J. Brown",2.9,"Attacker"
"68","M. Nakamba",2.9,"Midfielder"
"69","T. Kaminski",2.9,"Goalkeeper"
"70","D. Hashioka",2,"Defender"
"71","T. Holmes",1.17,"Defender"
"72","J. Gvardiol",90,"Defender"
"73","M. Nunes",62,"Midfielder"
"74","J. Doku",60,"Attacker"
"75","M. Kovacic",29.1,"Midfielder"
"76","C. Echeverri",18.5,"Midfielder"
"77","R. Hojlund",73.9,"Attacker"
"78","M. Mount",64.2,"Midfielder"
"79","A. Onana",50.2,"Goalkeeper"
"80","A. Bayindir",5,"Goalkeeper"
"81","S. Tonali",64,"Midfielder"
"82","H. Barnes",44,"Attacker"
"83","T. Livramento",37.2,"Defender"
"84","Y. Minteh",8,"Attacker"
"85","I. Sangare",35,"Midfielder"
"86","A. Elanga",17.5,"Attacker"
"87","C. Wood",17,"Attacker"
"88","A. Omobamidele",12.85,"Defender"
"89","Murillo",12,"Defender"
"90","N. Dominguez",10,"Midfielder"
"91","M. Turner",8.15,"Goalkeeper"
"92","M. Sels",8,"Goalkeeper"
"93","O. Vlachodimos",4.9,"Goalkeeper"
"94","C. Hudson-Odoi",3.5,"Attacker"
"95","C. Archer",21.55,"Attacker"
"96","G. Hamer",17.3,"Midfielder"
"97","V. Souza",12.5,"Midfielder"
"98","A. Trusty",5.8,"Defender"
"99","B. Traore",4.6,"Attacker"
"100","A. Slimane",2.7,"Midfielder"
"101","I. Grbic",2.5,"Goalkeeper"
"102","B. Johnson",55,"Attacker"
"103","J. Maddison",46.3,"Midfielder"
"104","P. Porro",40,"Defender"
"105","M. Van De Ven",40,"Defender"
"106","D. Kulusevski",30,"Attacker"
"107","R. Dragusin",25,"Defender"
"108","G. Vicario",18.5,"Goalkeeper"
"109","A. Veliz",15,"Attacker"
"110","A. Phillips",2.3,"Defender"
"111","M. Kudus",43,"Midfielder"
"112","E. Alvarez",38,"Midfielder"
"113","J. Ward-Prowse",34.8,"Midfielder"
"114","K. Mavropanos",20,"Defender"
"115","A. Irving",1.76,"Midfielder"
"116","M. Cunha",50,"Attacker"
"117","J. Bellegarde",15,"Midfielder"
"118","S. Bueno",12,"Defender"
"119","B. Traore",11,"Midfielder"
"120","E. Gonzalez",6,"Attacker"
